iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
BOL,2024,2890918520.0,9903830798.0,0.29189902159715797,29.189902159715796
BRA,2015,28078059493.0,180457442154.0,0.15559380182856938,15.559380182856938
BRA,2016,17935115932.0,145247873733.0,0.12347936992846444,12.347936992846444
BRA,2017,24373514008.0,165855231418.0,0.14695655843723227,14.695655843723227
BRA,2018,29132131854.0,192840115910.0,0.1510688360485958,15.106883604859581
BRA,2019,26766484371.0,193162004038.0,0.13857013186575934,13.857013186575934
BRA,2020,16737613542.0,166336211575.0,0.10062519389804132,10.062519389804132
BRA,2021,31872904464.0,234690442199.0,0.13580827649118388,13.580827649118387
BRA,2022,51938939467.0,292343725728.0,0.1776639445148366,17.76639445148366
BRA,2023,38983570633.0,252710460140.0,0.15426180068448037,15.426180068448037
BRA,2024,36575480410.0,277549212918.0,0.1317801626077966,13.17801626077966
BRB,2015,301952056.0,1617853172.0,0.18663749048791925,18.663749048791924
BRB,2016,251873385.0,1621269759.0,0.1553556301175664,15.53556301175664
BRB,2017,313724370.0,1599597494.5,0.19612707014026898,19.6127070140269
BRB,2018,371675965.0,1599911169.0,0.2323103758518733,23.23103758518733
BRB,2019,364112000.0,1580842477.0,0.23032781905695213,23.032781905695213
BRB,2020,259790096.0,1500813628.5,0.17309950487299963,17.309950487299965
BRB,2021,343312612.5,1673255487.5,0.20517644499880955,20.517644499880955
BRB,2022,561940478.0,2151007541.5,0.261245238409593,26.124523840959302
BRB,2023,531589938.5,2142606689.0,0.24810430268380443,24.810430268380443
BRB,2024,490436881.5,2164607918.5,0.2265707693797296,22.65707693797296
BRN,2015,201794498.0,3229077312.0,0.06249292863013371,6.2492928630133715
BRN,2016,231047662.0,2678505864.0,0.08625990523498812,8.625990523498812
