iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
CHL,2022,23458880534.52,104606443691.235,0.22425846541311706,22.425846541311707
CHL,2023,17957582468.729,85505142449.355,0.21001757267833734,21.001757267833735
CHL,2024,15959696719.487,84292473513.507,0.18933715021341285,18.933715021341285
CHN,2015,198600749043.0,1679564324560.0,0.11824539622501685,11.824539622501685
CHN,2016,176535890009.0,1587920688162.0,0.11117424901953905,11.117424901953905
CHN,2017,249624522202.0,1843792938795.0,0.13538641837143633,13.538641837143633
CHN,2018,347199945635.0,2133605397056.0,0.1627292216799202,16.27292216799202
CHN,2019,348125013257.0,2079285499197.0,0.16742530710258044,16.742530710258045
CHN,2020,273716495976.0,2069567864872.0,0.13225780155459121,13.225780155459121
CHN,2021,405433252593.0,2679412024390.0,0.151314261824029,15.1314261824029
CHN,2022,535339702649.0,2715997517261.0,0.19710610898822678,19.71061089882268
CHN,2023,515914205157.0,2556763018595.0,0.20178413149940924,20.178413149940923
CHN,2024,504017382857.0,2585134598079.0,0.19496755922555548,19.496755922555547
CIV,2015,1739568180.574,10405703104.844,0.16717449681648197,16.717449681648198
CIV,2016,1257924148.823,8581376965.195,0.14658768096600164,14.658768096600165
CIV,2017,1596248268.292,9613803703.644,0.16603711886554964,16.603711886554965
CIV,2018,2381121357.964,10969606774.708,0.21706533396019415,21.706533396019413
CIV,2019,2211747975.456,10482560553.171,0.2109931027097135,21.09931027097135
CIV,2020,2040558260.78,10526972093.252,0.19384094901211324,19.384094901211324
CIV,2021,2408926046.04,13966067383.136,0.17248420618024324,17.248420618024323
CIV,2022,4816572179.859,17888544321.56,0.26925456276807674,26.925456276807676
CIV,2023,4804755910.141,18842142271.002,0.2550005111433377,25.500051114333772
CIV,2024,4625734501.929,17219302729.887,0.2686365745751283,26.86365745751283
CMR,2015,1222082854.0,6036814820.0,0.2024383537409882,20.243835374098822
CMR,2016,533719255.0,4898887030.0,0.10894704281433491,10.89470428143349
CMR,2017,742660240.505,5183629302.428,0.143270322234875,14.327032223487501
CMR,2018,1326812839.516,6133556703.244,0.2163203021852324,21.63203021852324
CMR,2019,1724314435.806,6561572963.703,0.2627897983219087,26.278979832190867
CMR,2020,1157833193.79,5610413588.94,0.20637216409009065,20.637216409009067
CMR,2021,1261884648.48,6966293016.781,0.18114148305853123,18.114148305853124
CMR,2022,1861955582.375,7926780025.424,0.23489431728937185,23.489431728937184
CMR,2023,2006234564.793,8296875048.587,0.24180604782455678,24.180604782455678
COD,2015,519511948.976,8068011927.873,0.0643915692763435,6.43915692763435
COD,2016,333864013.515,5491784152.394,0.06079336045453656,6.079336045453656
COD,2017,257632273.941,5803107776.753,0.04439556938319564,4.439556938319564
COD,2018,305126152.463,7930392931.705,0.038475540252631495,3.8475540252631495
COD,2019,384046627.153,8824801939.34,0.0435190081083817,4.35190081083817
COD,2020,346625896.999,6938042132.222,0.0499601891128886,4.996018911288861
COD,2021,434783547.051,7214011129.616,0.06026932024904478,6.026932024904478
COD,2022,2771989444.495,11406533703.276,0.2430176876344892,24.30176876344892
COD,2023,9319736484.25,25529166293.5,0.36506231253712756,36.506231253712755
COG,2015,507729917.581,10549678920.426,0.04812752325551322,4.812752325551322
COG,2016,175185062.781,11270348869.065,0.015543889973259853,1.5543889973259852
COG,2017,156108154.211,4560299566.52,0.03423199549369239,3.423199549369239
COG,2018,149556268.916,3485609079.512,0.04290678200119289,4.290678200119289
COG,2019,81883844.985,2242427608.618,0.03651571389431149,3.6515713894311492
COG,2020,69288670.38,1908347758.09,0.0363081991142687,3.6308199114268698
COG,2021,100246850.5,2351503115.336,0.042630966485313795,4.26309664853138
COG,2022,50578951.372,3631590933.964,0.013927491364450408,1.3927491364450408
COG,2023,244684184.499,4698065598.699,0.052081900381884524,5.2081900381884525
COL,2015,5133497806.0,54035533653.0,0.09500225979011856,9.500225979011855
COL,2016,3834973460.0,44831142874.0,0.08554262091373334,8.554262091373333
COL,2017,3723037388.3,46050188812.5,0.08084738595663278,8.084738595663278
COL,2018,3535360880.19,51230566648.01,0.06900881859223643,6.9008818592236425
